country_20230124,ISO,region,subregion,Income.Group.,retractions,citabledocuments_1996_2021,mean_democracy_2008_2021,ongoing_nonviolent_campaign,GDP_pc_mean_1960_2022,HDI_mean_1990_2021,industry_share_mean_1960_2022,length_of_last_leader_tenure_2015,muslim_proportion,top_universities_shanghai_2022,plurality
South Korea,KOR,Asia,Eastern Asia,High ,753,1350774,8.037692308,0,11040.68718,0.8510625,30.99961734,4,0,30,0
Spain,ESP,Europe,Southern Europe,High ,377,1586734,8.140769231,1,13904.79202,0.84459375,24.20627908,5,0,40,0
Sri Lanka,LKA,Asia,Southern Asia,Lower middle ,16,27913,6.236923077,0,1208.119456,0.71359375,26.82000152,1,7.2,0,0
Sudan,SDN,Africa,Northern Africa,Low ,11,12464,2.447692308,0,718.4012188,0.44446875,15.61518458,27,73,0,0
Suriname,SUR,Americas,Latin America and the Caribbean,Upper middle ,0,627,6.766923077,0,2976.639317,0.725055556,32.59351313,6,13,0,0
Svalbard and Jan Mayen,SJM,Europe,Northern Europe,NA,0,57,NA,0,NA,NA,NA,NA,NA,0,NA
Swaziland/Eswatini,SWZ,Africa,Sub-Saharan Africa,NA,2,1837,3.09,0,1667.356568,0.52009375,33.0589063,30,0.1,0,NA
Sweden,SWE,Europe,Northern Europe,High ,191,738825,9.507692308,0,27604.72548,0.89965625,25.36117943,2,0.1,13,0
Switzerland,CHE,Europe,Western Europe,NA,186,799411,9.046153846,0,44243.92213,0.9111875,26.15659622,1,0.3,9,1
Syria,SYR,Asia,Western Asia,NA,3,9398,1.670769231,0,2567.434164,0.5998125,24.2551828,16,89.6,0,1
Taiwan,TWN,Asia,Eastern Asia,NA,421,758084,7.871538462,0,NA,NA,NA,8,0.5,14,0
Tajikistan,TJK,Asia,Central Asia,NA,49,2545,2.182307692,0,553.1723826,0.6115625,32.20382449,24,85,0,0
Tanzania,TZA,Africa,Sub-Saharan Africa,Lower middle ,4,22851,5.504615385,0,577.9764103,0.4504375,21.61564413,1,32.5,0,1
Thailand,THA,Asia,South-eastern Asia,Upper middle ,121,235095,5.828461538,1,2342.173204,0.70078125,32.32683131,2,3.9,4,0
Timor-Leste,TLS,Asia,South-eastern Asia,NA,1,346,7.19,0,1041.765309,0.59255,16.42246642,4,NA,0,NA
Togo,TGO,Africa,Sub-Saharan Africa,Low ,2,2650,3.189230769,1,466.0265261,0.46671875,24.55943953,11,17,0,0
Tokelau,TKL,Oceania,Polynesia,NA,0,9,NA,0,NA,NA,NA,NA,NA,0,NA
Tonga,TON,Oceania,Polynesia,NA,0,246,NA,0,2163.678367,0.7025,14.61800256,NA,0,0,NA
Trinidad & Tobago,TTO,Americas,Latin America and the Caribbean,High ,5,7365,7.106153846,0,7281.309176,0.75021875,47.23034972,1,6.5,0,1
Tunisia,TUN,Africa,Northern Africa,Lower middle ,70,107531,5.705384615,0,2076.009573,0.6800625,26.6198585,2,99.4,0,0
Turkey,TUR,Asia,Western Asia,Upper middle ,356,713081,5.076153846,1,4208.933559,0.71740625,25.9804213,13,99.2,11,0
Turkmenistan,TKM,Asia,Central Asia,NA,1,406,1.740769231,0,2909.332171,0.719117647,46.42633496,10,87,0,1
Turks and Caicos Islands,TCA,Americas,Latin America and the Caribbean,NA,0,84,NA,0,24204.44021,NA,13.7293605,NA,NA,0,NA
Tuvalu,TUV,Oceania,Polynesia,NA,0,39,NA,0,2655.596864,0.607,10.5164292,NA,NA,0,NA
Uganda,UGA,Africa,Sub-Saharan Africa,Low ,9,22955,5.078461538,0,344.9991643,0.4411875,16.14196338,30,6.6,0,1
Ukraine,UKR,Europe,Eastern Europe,Lower middle ,25,243638,5.877692308,0,2202.412908,0.7404375,31.26029832,2,0,0,0
United Arab Emirates,ARE,Asia,Western Asia,High ,46,80662,2.673076923,0,34863.22703,0.82109375,54.08959155,12,94.9,1,0
United Kingdom,GBR,Europe,Northern Europe,High ,1228,3564646,8.322307692,0,21340.7159,0.88184375,20.83640641,6,1.4,63,1
United States,USA,Americas,Northern America,High ,4668,12662685,8.041538462,1,28194.12301,0.902,20.10902488,7,0.8,196,1
United States Minor Outlying Islands,UMI,Oceania,Micronesia,NA,0,22,NA,0,NA,NA,NA,NA,NA,0,NA
Uruguay,URY,Americas,Latin America and the Caribbean,High ,5,24058,8.272307692,0,6143.319614,0.7685,25.75923966,1,0,0,0
Uzbekistan,UZB,Asia,Central Asia,Lower middle ,24,19099,1.94,0,1233.183953,0.673454545,26.31456435,26,88,0,1
Vanuatu,VUT,Oceania,Melanesia,NA,0,564,NA,0,1842.169555,0.594705882,9.34095338,NA,0,0,NA
Vatican City State,VAT,Europe,Southern Europe,NA,0,47,NA,0,NA,NA,NA,NA,NA,0,NA
Venezuela,VEN,Americas,Latin America and the Caribbean,Upper middle ,13,43161,4.257692308,1,4114.993086,0.715375,47.21657455,4,0,0,0
Vietnam,VNM,Asia,South-eastern Asia,Lower middle ,57,96177,3.080769231,0,1279.997769,0.61940625,33.50933991,19,1,2,1
Virgin Islands (British),VGB,Americas,Latin America and the Caribbean,NA,0,155,NA,0,NA,NA,NA,NA,0,0,NA
Virgin Islands (U.S.),VIR,Americas,Latin America and the Caribbean,NA,0,265,NA,0,37100.52536,NA,NA,NA,0,0,NA
Wallis and Futuna,WLF,Oceania,Polynesia,NA,0,19,NA,0,NA,NA,NA,NA,NA,0,NA
Western Sahara,ESH,Africa,Northern Africa,NA,0,7,NA,1,NA,NA,NA,NA,NA,0,NA
Yemen,YEM,Asia,Western Asia,NA,4,7562,2.387692308,1,757.7553611,0.45934375,36.57170596,4,99.5,0,1
Zambia,ZMB,Africa,Sub-Saharan Africa,Lower middle ,1,7876,5.789230769,0,688.5444692,0.48359375,40.18441115,1,0.3,0,1
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Lower middle ,3,13017,2.894615385,0,756.9821225,0.50859375,27.68729646,36,0.9,0,1
